,biosample,sample,...1,dataset,bioproject,sample_description,geo_loc_name,loc_description,lat,lon,is_water,environment,biome,biome_details,biome_type,to_be_considered,PROK.MAGs,temp,depth_str,log_depth,date,bioproject_longnames,bioproject_shortnames,references,depth,depth_original,date_original,year,month,day,min_filtersize_uM,max_filtersize_uM,study_id,instrument_model,within_MLD,analysis_type,distance_to_coast,MLD,ocean_mask,V1,PROK-MAGs,reference,depth_layer,size fraction,size_fraction,marine_region,library_strategy,library_source,library_selection,read_count,base_count
10,Gp0561266-S001,WIND23-1_Gp0561266-S001,11561.0,WIND23-1,jgi-TheIntArctiOcean/,not specified,epipelagic_2,not specified,87.5518,102.0858,1.0,Ocean - Water,Ocean - Water,Sea,Ocean - Water,1,154.0,,,,,"Myrothamnus flabellifolia resequencing, genome assembly and annotation",others,https://www.mdpi.com/2073-4425/14/2/363,missing,,,,,,,,,,,not_included,700.390339651059,,0.0,,,,,,,Arctic Ocean,,,,,
11,Gp0561267-S001,WIND23-1_Gp0561267-S001,11562.0,WIND23-1,jgi-TheIntArctiOcean/,not specified,epipelagic_5,not specified,87.5953,94.0846,1.0,Ocean - Water,Ocean - Water,Sea,Ocean - Water,1,143.0,,,,,"Myrothamnus flabellifolia resequencing, genome assembly and annotation",others,https://www.mdpi.com/2073-4425/14/2/363,missing,,,,,,,,,,,not_included,703.129207071374,,0.0,,,,,,,Arctic Ocean,,,,,
12,Gp0561268-S001,WIND23-1_Gp0561268-S001,11563.0,WIND23-1,jgi-TheIntArctiOcean/,not specified,epipelagic_6,not specified,87.5953,94.0846,1.0,Ocean - Water,Ocean - Water,Sea,Ocean - Water,1,148.0,,,,,"Myrothamnus flabellifolia resequencing, genome assembly and annotation",others,https://www.mdpi.com/2073-4425/14/2/363,missing,,,,,,,,,,,not_included,703.129207071374,,0.0,,,,,,,Arctic Ocean,,,,,
13,Gp0561269-S001,WIND23-1_Gp0561269-S001,11564.0,WIND23-1,jgi-TheIntArctiOcean/,not specified,epipelagic_3,not specified,87.5518,102.0858,1.0,Ocean - Water,Ocean - Water,Sea,Ocean - Water,1,152.0,,,,,"Myrothamnus flabellifolia resequencing, genome assembly and annotation",others,https://www.mdpi.com/2073-4425/14/2/363,missing,,,,,,,,,,,not_included,700.390339651059,,0.0,,,,,,,Arctic Ocean,,,,,
14,Gp0561270-S001,WIND23-1_Gp0561270-S001,11565.0,WIND23-1,jgi-TheIntArctiOcean/,not specified,epipelagic_4,not specified,87.5953,94.0846,1.0,Ocean - Water,Ocean - Water,Sea,Ocean - Water,1,162.0,,,,,"Myrothamnus flabellifolia resequencing, genome assembly and annotation",others,https://www.mdpi.com/2073-4425/14/2/363,missing,,,,,,,,,,,not_included,703.129207071374,,0.0,,,,,,,Arctic Ocean,,,,,
1161,SAMEA104347470,BOWM19-1_SAMEA104347470,,BOWM19-1,PRJEB14154,not specified,not specified,not specified,72.02705,-162.541,1.0,Ocean - Water,Ocean - Water,Sea,Ocean - Water,1,,,,,9999-99-99T00:00:00Z,,,,missing,,,,,,,0.2,,Illumina MiSeq,,,,,,1137.0,0.0,https://aslopubs.onlinelibrary.wiley.com/doi/full/10.1002/lno.11310,,,<0.2 μm,Arctic Ocean,WGS,METAGENOMIC,RANDOM,28,12871
1162,SAMEA104347470,BOWM19-1_SAMEA104347470,,BOWM19-1,PRJEB14154,not specified,not specified,not specified,72.02705,-162.541,1.0,Ocean - Water,Ocean - Water,Sea,Ocean - Water,1,0.0,,,,9999-99-99T00:00:00Z,not specified,,https://aslopubs.onlinelibrary.wiley.com/doi/full/10.1002/lno.11310,missing,,9999-99-99T00:00:00Z,,,,,0.2,,Illumina MiSeq,,,171.333000982325,,0.0,1137.0,0.0,https://aslopubs.onlinelibrary.wiley.com/doi/full/10.1002/lno.11310,,,<0.2 μm,Arctic Ocean,WGS,METAGENOMIC,RANDOM,28,12871
1163,SAMEA104347471,BOWM19-1_SAMEA104347471,,BOWM19-1,PRJEB14154,not specified,not specified,not specified,72.02705,-162.541,1.0,Ocean - Water,Ocean - Water,Sea,Ocean - Water,1,,,,,9999-99-99T00:00:00Z,,,,missing,,,,,,,0.2,,Illumina MiSeq,,,,,,1138.0,0.0,https://aslopubs.onlinelibrary.wiley.com/doi/full/10.1002/lno.11310,,,<0.2 μm,Arctic Ocean,WGS,METAGENOMIC,RANDOM,19,9838
1164,SAMEA104347471,BOWM19-1_SAMEA104347471,,BOWM19-1,PRJEB14154,not specified,not specified,not specified,72.02705,-162.541,1.0,Ocean - Water,Ocean - Water,Sea,Ocean - Water,1,0.0,,,,9999-99-99T00:00:00Z,not specified,,https://aslopubs.onlinelibrary.wiley.com/doi/full/10.1002/lno.11310,missing,,9999-99-99T00:00:00Z,,,,,0.2,,Illumina MiSeq,,,171.333000982325,,0.0,1138.0,0.0,https://aslopubs.onlinelibrary.wiley.com/doi/full/10.1002/lno.11310,,,<0.2 μm,Arctic Ocean,WGS,METAGENOMIC,RANDOM,19,9838
1336,SAMEA13322666,LUOR22-1_SAMEA13322666,6254.0,LUOR22-1,PRJEB51534,gb5_2 metagenome,Atlantic Ocean,not specified,60.13556,5.111667,1.0,host-associated,Sponges,sponges,Host-associated,1,98.0,,,,2017-NA-NA NA,marine sponge biosynthetic profiles,others,https://journals.asm.org/doi/10.1128/msystems.00357-22,missing,,2017,2017.0,,,,,,Illumina HiSeq 2500,,not_included,6.05412726405449,,0.0,,,,,,,North Atlantic Ocean,WGS,GENOMIC,RANDOM,105040780,15756117000
1337,SAMEA13322667,LUOR22-1_SAMEA13322667,6255.0,LUOR22-1,PRJEB51534,gb6 metagenome,Atlantic Ocean,not specified,60.13556,5.111667,1.0,host-associated,Sponges,sponges,Host-associated,1,86.0,,,,2017-NA-NA NA,marine sponge biosynthetic profiles,others,https://journals.asm.org/doi/10.1128/msystems.00357-22,missing,,2017,2017.0,,,,,,Illumina HiSeq 2500,,not_included,6.05412726405449,,0.0,,,,,,,North Atlantic Ocean,WGS,GENOMIC,RANDOM,95361680,14304252000
1338,SAMEA13322669,LUOR22-1_SAMEA13322669,6256.0,LUOR22-1,PRJEB51534,gb7 metagenome,Atlantic Ocean,not specified,60.13556,5.111667,1.0,host-associated,Sponges,sponges,Host-associated,1,90.0,,,,2017-NA-NA NA,marine sponge biosynthetic profiles,others,https://journals.asm.org/doi/10.1128/msystems.00357-22,missing,,2017,2017.0,,,,,,Illumina HiSeq 2500,,not_included,6.05412726405449,,0.0,,,,,,,North Atlantic Ocean,WGS,GENOMIC,RANDOM,103952924,15592938600
1339,SAMEA13322671,LUOR22-1_SAMEA13322671,6257.0,LUOR22-1,PRJEB51534,gb9 metagenome,Atlantic Ocean,not specified,60.13556,5.111667,1.0,host-associated,Sponges,sponges,Host-associated,1,85.0,,,,2017-NA-NA NA,marine sponge biosynthetic profiles,others,https://journals.asm.org/doi/10.1128/msystems.00357-22,missing,,2017,2017.0,,,,,,Illumina HiSeq 2500,,not_included,6.05412726405449,,0.0,,,,,,,North Atlantic Ocean,WGS,GENOMIC,RANDOM,99220974,14883146100
1340,SAMEA13322672,LUOR22-1_SAMEA13322672,6258.0,LUOR22-1,PRJEB51534,gb10 metagenome,Atlantic Ocean,not specified,60.13556,5.111667,1.0,host-associated,Sponges,sponges,Host-associated,1,88.0,,,,2017-NA-NA NA,marine sponge biosynthetic profiles,others,https://journals.asm.org/doi/10.1128/msystems.00357-22,missing,,2017,2017.0,,,,,,Illumina HiSeq 2500,,not_included,6.05412726405449,,0.0,,,,,,,North Atlantic Ocean,WGS,GENOMIC,RANDOM,106996978,16049546700
1341,SAMEA13322673,LUOR22-1_SAMEA13322673,6259.0,LUOR22-1,PRJEB51534,gb126 metagenome,Atlantic Ocean,not specified,62.87086,57.6262,1.0,host-associated,Sponges,sponges,Host-associated,1,96.0,,,,2015-NA-NA NA,marine sponge biosynthetic profiles,others,https://journals.asm.org/doi/10.1128/msystems.00357-22,missing,,2015,2015.0,,,,,,Illumina HiSeq 2500,,not_included,606.322683458839,,0.0,,,,,,,,WGS,GENOMIC,RANDOM,100737800,15110670000
1342,SAMEA13322674,LUOR22-1_SAMEA13322674,6260.0,LUOR22-1,PRJEB51534,gb278 metagenome,Atlantic Ocean,not specified,61.89333,60.1325,1.0,host-associated,Sponges,sponges,Host-associated,1,87.0,,,,2014-NA-NA NA,marine sponge biosynthetic profiles,others,https://journals.asm.org/doi/10.1128/msystems.00357-22,missing,,2014,2014.0,,,,,,Illumina HiSeq 2500,,not_included,680.059940571881,,0.0,,,,,,,,WGS,GENOMIC,RANDOM,96813446,14522016900
1343,SAMEA13322675,LUOR22-1_SAMEA13322675,6261.0,LUOR22-1,PRJEB51534,gb305 metagenome,Atlantic Ocean,not specified,61.89333,60.1325,1.0,host-associated,Sponges,sponges,Host-associated,1,100.0,,,,2014-NA-NA NA,marine sponge biosynthetic profiles,others,https://journals.asm.org/doi/10.1128/msystems.00357-22,missing,,2014,2014.0,,,,,,Illumina HiSeq 2500,,not_included,680.059940571881,,0.0,,,,,,,,WGS,GENOMIC,RANDOM,101465112,15219766800
1344,SAMEA13322676,LUOR22-1_SAMEA13322676,6262.0,LUOR22-1,PRJEB51534,Pf4 metagenome,Mediterranean Sea,not specified,35.20019,24.11939,1.0,host-associated,Sponges,sponges,Host-associated,1,96.0,,,,2018-NA-NA NA,marine sponge biosynthetic profiles,others,https://journals.asm.org/doi/10.1128/msystems.00357-22,missing,,2018,2018.0,,,,,,Illumina HiSeq 2500,,not_included,11.62836198103,,0.0,,,,,,,Mediterranean Region,WGS,GENOMIC,RANDOM,106146218,15921932700
1345,SAMEA13322677,LUOR22-1_SAMEA13322677,6263.0,LUOR22-1,PRJEB51534,Pf5 metagenome,Mediterranean Sea,not specified,35.20019,24.11939,1.0,host-associated,Sponges,sponges,Host-associated,1,83.0,,,,2018-NA-NA NA,marine sponge biosynthetic profiles,others,https://journals.asm.org/doi/10.1128/msystems.00357-22,missing,,2018,2018.0,,,,,,Illumina HiSeq 2500,,not_included,11.62836198103,,0.0,,,,,,,Mediterranean Region,WGS,GENOMIC,RANDOM,83282144,12492321600
1346,SAMEA13322678,LUOR22-1_SAMEA13322678,6264.0,LUOR22-1,PRJEB51534,Pf6 metagenome,Mediterranean Sea,not specified,35.20019,24.11939,1.0,host-associated,Sponges,sponges,Host-associated,1,98.0,,,,2018-NA-NA NA,marine sponge biosynthetic profiles,others,https://journals.asm.org/doi/10.1128/msystems.00357-22,missing,,2018,2018.0,,,,,,Illumina HiSeq 2500,,not_included,11.62836198103,,0.0,,,,,,,Mediterranean Region,WGS,GENOMIC,RANDOM,115625028,17343754200
1347,SAMEA13322679,LUOR22-1_SAMEA13322679,6265.0,LUOR22-1,PRJEB51534,Pf7 metagenome,Mediterranean Sea,not specified,35.20019,24.11939,1.0,host-associated,Sponges,sponges,Host-associated,1,108.0,,,,2018-NA-NA NA,marine sponge biosynthetic profiles,others,https://journals.asm.org/doi/10.1128/msystems.00357-22,missing,,2018,2018.0,,,,,,Illumina HiSeq 2500,,not_included,11.62836198103,,0.0,,,,,,,Mediterranean Region,WGS,GENOMIC,RANDOM,108828900,16324335000
1348,SAMEA13322680,LUOR22-1_SAMEA13322680,6266.0,LUOR22-1,PRJEB51534,Pf8 metagenome,Mediterranean Sea,not specified,35.20019,24.11939,1.0,host-associated,Sponges,sponges,Host-associated,1,90.0,,,,2018-NA-NA NA,marine sponge biosynthetic profiles,others,https://journals.asm.org/doi/10.1128/msystems.00357-22,missing,,2018,2018.0,,,,,,Illumina HiSeq 2500,,not_included,11.62836198103,,0.0,,,,,,,Mediterranean Region,WGS,GENOMIC,RANDOM,85661652,12849247800
1349,SAMEA13322681,LUOR22-1_SAMEA13322681,6267.0,LUOR22-1,PRJEB51534,Pf9 metagenome,Mediterranean Sea,not specified,35.20019,24.11939,1.0,host-associated,Sponges,sponges,Host-associated,1,90.0,,,,2018-NA-NA NA,marine sponge biosynthetic profiles,others,https://journals.asm.org/doi/10.1128/msystems.00357-22,missing,,2018,2018.0,,,,,,Illumina HiSeq 2500,,not_included,11.62836198103,,0.0,,,,,,,Mediterranean Region,WGS,GENOMIC,RANDOM,85335544,12800331600
1350,SAMEA13322682,LUOR22-1_SAMEA13322682,6268.0,LUOR22-1,PRJEB51534,Pf10 metagenome,Mediterranean Sea,not specified,35.20019,24.11939,1.0,host-associated,Sponges,sponges,Host-associated,1,96.0,,,,2018-NA-NA NA,marine sponge biosynthetic profiles,others,https://journals.asm.org/doi/10.1128/msystems.00357-22,missing,,2018,2018.0,,,,,,Illumina HiSeq 2500,,not_included,11.62836198103,,0.0,,,,,,,Mediterranean Region,WGS,GENOMIC,RANDOM,89515128,13427269200
1351,SAMEA13322683,LUOR22-1_SAMEA13322683,6269.0,LUOR22-1,PRJEB51534,Pf11 metagenome,Mediterranean Sea,not specified,35.20019,24.11939,1.0,host-associated,Sponges,sponges,Host-associated,1,97.0,,,,2018-NA-NA NA,marine sponge biosynthetic profiles,others,https://journals.asm.org/doi/10.1128/msystems.00357-22,missing,,2018,2018.0,,,,,,Illumina HiSeq 2500,,not_included,11.62836198103,,0.0,,,,,,,Mediterranean Region,WGS,GENOMIC,RANDOM,83095606,12464340900
1352,SAMEA13322684,LUOR22-1_SAMEA13322684,6270.0,LUOR22-1,PRJEB51534,Pf12 metagenome,Mediterranean Sea,not specified,35.20019,24.11939,1.0,host-associated,Sponges,sponges,Host-associated,1,81.0,,,,2018-NA-NA NA,marine sponge biosynthetic profiles,others,https://journals.asm.org/doi/10.1128/msystems.00357-22,missing,,2018,2018.0,,,,,,Illumina HiSeq 2500,,not_included,11.62836198103,,0.0,,,,,,,Mediterranean Region,WGS,GENOMIC,RANDOM,83806460,12570969000
1353,SAMEA13322685,LUOR22-1_SAMEA13322685,6271.0,LUOR22-1,PRJEB51534,gb1_f metagenome,Atlantic Ocean,not specified,60.13556,5.111667,1.0,host-associated,Sponges,sponges,Host-associated,1,58.0,,,,2017-NA-NA NA,marine sponge biosynthetic profiles,others,https://journals.asm.org/doi/10.1128/msystems.00357-22,missing,,2017,2017.0,,,,,,Illumina HiSeq 2500,,not_included,6.05412726405449,,0.0,,,,,,,North Atlantic Ocean,WGS,GENOMIC,RANDOM,94381470,14157220500
1354,SAMEA13322686,LUOR22-1_SAMEA13322686,6272.0,LUOR22-1,PRJEB51534,gb2_f metagenome,Atlantic Ocean,not specified,60.13556,5.111667,1.0,host-associated,Sponges,sponges,Host-associated,1,56.0,,,,2017-NA-NA NA,marine sponge biosynthetic profiles,others,https://journals.asm.org/doi/10.1128/msystems.00357-22,missing,,2017,2017.0,,,,,,Illumina HiSeq 2500,,not_included,6.05412726405449,,0.0,,,,,,,North Atlantic Ocean,WGS,GENOMIC,RANDOM,96944258,14541638700
1355,SAMEA13322687,LUOR22-1_SAMEA13322687,6273.0,LUOR22-1,PRJEB51534,gb3_f metagenome,Atlantic Ocean,not specified,60.13556,5.111667,1.0,host-associated,Sponges,sponges,Host-associated,1,54.0,,,,2017-NA-NA NA,marine sponge biosynthetic profiles,others,https://journals.asm.org/doi/10.1128/msystems.00357-22,missing,,2017,2017.0,,,,,,Illumina HiSeq 2500,,not_included,6.05412726405449,,0.0,,,,,,,North Atlantic Ocean,WGS,GENOMIC,RANDOM,95108358,14266253700
1356,SAMEA13322688,LUOR22-1_SAMEA13322688,6274.0,LUOR22-1,PRJEB51534,gb5_6_f metagenome,Atlantic Ocean,not specified,60.13556,5.111667,1.0,host-associated,Sponges,sponges,Host-associated,1,55.0,,,,2017-NA-NA NA,marine sponge biosynthetic profiles,others,https://journals.asm.org/doi/10.1128/msystems.00357-22,missing,,2017,2017.0,,,,,,Illumina HiSeq 2500,,not_included,6.05412726405449,,0.0,,,,,,,North Atlantic Ocean,WGS,GENOMIC,RANDOM,107660334,16149050100
1357,SAMEA13322689,LUOR22-1_SAMEA13322689,6275.0,LUOR22-1,PRJEB51534,gb9_f metagenome,Atlantic Ocean,not specified,60.13556,5.111667,1.0,host-associated,Sponges,sponges,Host-associated,1,42.0,,,,2017-NA-NA NA,marine sponge biosynthetic profiles,others,https://journals.asm.org/doi/10.1128/msystems.00357-22,missing,,2017,2017.0,,,,,,Illumina HiSeq 2500,,not_included,6.05412726405449,,0.0,,,,,,,North Atlantic Ocean,WGS,GENOMIC,RANDOM,88639032,13295854800
1358,SAMEA13322690,LUOR22-1_SAMEA13322690,6276.0,LUOR22-1,PRJEB51534,gb10_f metagenome,Atlantic Ocean,not specified,60.13556,5.111667,1.0,host-associated,Sponges,sponges,Host-associated,1,55.0,,,,2017-NA-NA NA,marine sponge biosynthetic profiles,others,https://journals.asm.org/doi/10.1128/msystems.00357-22,missing,,2017,2017.0,,,,,,Illumina HiSeq 2500,,not_included,6.05412726405449,,0.0,,,,,,,North Atlantic Ocean,WGS,GENOMIC,RANDOM,113850288,17077543200
1359,SAMEA13410271,LUOR22-1_SAMEA13410271,6277.0,LUOR22-1,PRJEB51534,sw_7 metagenome,Mediterranean Sea,not specified,42.1145,3.168478,1.0,host-associated,Sponges,sponges,Host-associated,1,20.0,,,,2014-NA-NA NA,marine sponge biosynthetic profiles,others,https://journals.asm.org/doi/10.1128/msystems.00357-22,missing,,2014,2014.0,,,,,,Illumina HiSeq 1500,,not_included,2.45530425068571,,0.0,,,,,,,Mediterranean Region,WGS,GENOMIC,RANDOM,45244356,4524435600
1360,SAMEA13410272,LUOR22-1_SAMEA13410272,6278.0,LUOR22-1,PRJEB51534,sw_8 metagenome,Mediterranean Sea,not specified,42.1145,3.168478,1.0,host-associated,Sponges,sponges,Host-associated,1,22.0,,,,2014-NA-NA NA,marine sponge biosynthetic profiles,others,https://journals.asm.org/doi/10.1128/msystems.00357-22,missing,,2014,2014.0,,,,,,Illumina HiSeq 1500,,not_included,2.45530425068571,,0.0,,,,,,,Mediterranean Region,WGS,GENOMIC,RANDOM,43762346,4376234600
1361,SAMEA13410273,LUOR22-1_SAMEA13410273,6279.0,LUOR22-1,PRJEB51534,sw_9 metagenome,Mediterranean Sea,not specified,42.1145,3.168478,1.0,host-associated,Sponges,sponges,Host-associated,1,22.0,,,,2014-NA-NA NA,marine sponge biosynthetic profiles,others,https://journals.asm.org/doi/10.1128/msystems.00357-22,missing,,2014,2014.0,,,,,,Illumina HiSeq 1500,,not_included,2.45530425068571,,0.0,,,,,,,Mediterranean Region,WGS,GENOMIC,RANDOM,47628912,4762891200
1362,SAMEA13410274,LUOR22-1_SAMEA13410274,6280.0,LUOR22-1,PRJEB51534,Aply16 metagenome,Mediterranean Sea,not specified,42.1145,3.168478,1.0,host-associated,Sponges,sponges,Host-associated,1,40.0,,,,2014-NA-NA NA,marine sponge biosynthetic profiles,others,https://journals.asm.org/doi/10.1128/msystems.00357-22,missing,,2014,2014.0,,,,,,"c(""Illumina HiSeq 1500"", ""PacBio RS II"")",,not_included,2.45530425068571,,0.0,,,,,,,Mediterranean Region,"c(""WGS"", ""WGS"")","c(""GENOMIC"", ""GENOMIC"")","c(""RANDOM"", ""RANDOM"")","c(44875766, 124856)","c(2.21715743114107e-314, 3.99566513111931e-315)"
1363,SAMEA13410275,LUOR22-1_SAMEA13410275,6281.0,LUOR22-1,PRJEB51534,Aply21 metagenome,Mediterranean Sea,not specified,42.1145,3.168478,1.0,host-associated,Sponges,sponges,Host-associated,1,32.0,,,,2014-NA-NA NA,marine sponge biosynthetic profiles,others,https://journals.asm.org/doi/10.1128/msystems.00357-22,missing,,2014,2014.0,,,,,,"c(""PacBio RS II"", ""Illumina HiSeq 1500"")",,not_included,2.45530425068571,,0.0,,,,,,,Mediterranean Region,"c(""WGS"", ""WGS"")","c(""GENOMIC"", ""GENOMIC"")","c(""RANDOM"", ""RANDOM"")","c(121788, 38386448)","c(3.62540074040518e-315, 1.89654252226714e-314)"
1364,SAMEA13410276,LUOR22-1_SAMEA13410276,6282.0,LUOR22-1,PRJEB51534,Aply22 metagenome,Mediterranean Sea,not specified,42.1145,3.168478,1.0,host-associated,Sponges,sponges,Host-associated,1,75.0,,,,2014-NA-NA NA,marine sponge biosynthetic profiles,others,https://journals.asm.org/doi/10.1128/msystems.00357-22,missing,,2014,2014.0,,,,,,"c(""PacBio RS II"", ""Illumina HiSeq 1500"", ""Illumina HiSeq 1500"", ""Illumina HiSeq 1500"")",,not_included,2.45530425068571,,0.0,,,,,,,Mediterranean Region,"c(""WGS"", ""WGS"", ""WGS"", ""WGS"")","c(""GENOMIC"", ""GENOMIC"", ""GENOMIC"", ""GENOMIC"")","c(""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"")","c(126696, 39658538, 44508562, 38403034)","c(3.56669640383853e-315, 1.95939211900896e-314, 2.19901514299952e-314, 1.89736197954733e-314)"
1365,SAMEA13410277,LUOR22-1_SAMEA13410277,6283.0,LUOR22-1,PRJEB51534,Aply23 metagenome,Mediterranean Sea,not specified,42.1145,3.168478,1.0,host-associated,Sponges,sponges,Host-associated,1,24.0,,,,2014-NA-NA NA,marine sponge biosynthetic profiles,others,https://journals.asm.org/doi/10.1128/msystems.00357-22,missing,,2014,2014.0,,,,,,"c(""Illumina HiSeq 1500"", ""PacBio RS II"")",,not_included,2.45530425068571,,0.0,,,,,,,Mediterranean Region,"c(""WGS"", ""WGS"")","c(""GENOMIC"", ""GENOMIC"")","c(""RANDOM"", ""RANDOM"")","c(39411894, 115111)","c(1.94720628629367e-314, 3.78280420049229e-315)"
1371,SAMEA2555019,POHA15-1_SAMEA2555019,6920.0,POHA15-1,PRJEB6411,not specified,"Australia: NSW, Port Hacking",not specified,34.06889,151.1228,1.0,"Ocean - Water, sediment",Sediment,Sediment,Miscellaneous,1,76.0,,,,,Port Hacking Time Series,Port Hacking Time-Series,Port Hacking Time Series,missing,,,,,,,,,Illumina HiSeq 2000,,not_included,953.24384865623,,1.0,,,,,,,North Pacific Ocean,WGS,METAGENOMIC,RANDOM,67553228,13510645600
1372,SAMEA2555020,POHA15-1_SAMEA2555020,6921.0,POHA15-1,PRJEB6411,not specified,"Australia: NSW, Port Hacking",not specified,34.06889,151.1228,1.0,"Ocean - Water, sediment",Sediment,Sediment,Miscellaneous,1,60.0,,,,,Port Hacking Time Series,Port Hacking Time-Series,Port Hacking Time Series,missing,,,,,,,,,Illumina HiSeq 2000,,not_included,953.24384865623,,1.0,,,,,,,North Pacific Ocean,WGS,METAGENOMIC,RANDOM,42142777,8428555400
